Admin2,Province_State,Lat,Long_,Deaths,Combined_Key
Bates,Missouri,38.25271,-94.34113157,0,"Bates, Missouri, US"
Bath,Kentucky,38.14736,-83.74588932,0,"Bath, Kentucky, US"
Bath,Virginia,38.05853,-79.73912095,0,"Bath, Virginia, US"
Baxter,Arkansas,36.28784,-92.33782872,0,"Baxter, Arkansas, US"
Bay,Florida,30.26549,-85.62122584,1,"Bay, Florida, US"
Bay,Michigan,43.70639,-83.98731479,0,"Bay, Michigan, US"
Bayfield,Wisconsin,46.52869,-91.19716729,0,"Bayfield, Wisconsin, US"
Beadle,South Dakota,44.41464,-98.27858469,2,"Beadle, South Dakota, US"
Beaufort,North Carolina,35.48532,-76.84325809,0,"Beaufort, North Carolina, US"
Beaufort,South Carolina,32.39226,-80.72619758,5,"Beaufort, South Carolina, US"
Beauregard,Louisiana,30.64837,-93.34173616,1,"Beauregard, Louisiana, US"
Beaver,Oklahoma,36.74968,-100.4758872,0,"Beaver, Oklahoma, US"
Beaver,Pennsylvania,40.68255,-80.34921611,13,"Beaver, Pennsylvania, US"
Beaverhead,Montana,45.13434,-112.8984694,0,"Beaverhead, Montana, US"
Beckham,Oklahoma,35.26862,-99.68128023,0,"Beckham, Oklahoma, US"
Bedford,Pennsylvania,40.00522,-78.48998442,0,"Bedford, Pennsylvania, US"
Bedford,Tennessee,35.51124,-86.45549096,1,"Bedford, Tennessee, US"
Bedford,Virginia,37.308,-79.5281964,0,"Bedford, Virginia, US"
Bee,Texas,28.41762,-97.74215593,0,"Bee, Texas, US"
Belknap,New Hampshire,43.51637,-71.41684235,0,"Belknap, New Hampshire, US"
Bell,Texas,31.03736,-97.4785025,3,"Bell, Texas, US"
Belmont,Ohio,40.01626,-80.9924051,1,"Belmont, Ohio, US"
Beltrami,Minnesota,47.97374,-94.93732139,0,"Beltrami, Minnesota, US"
Ben Hill,Georgia,31.76096,-83.22145359,0,"Ben Hill, Georgia, US"
Bennington,Vermont,43.0352,-73.09048868,1,"Bennington, Vermont, US"
Benton,Arkansas,36.33645,-94.25680817,0,"Benton, Arkansas, US"
Benton,Indiana,40.60627,-87.31093999,0,"Benton, Indiana, US"
Benton,Iowa,42.08012,-92.06463573,1,"Benton, Iowa, US"
